,RandomState,VOC,RMSE,MAE,R2
2800,FALSE,63.026,0.122421094,0.09303754,0.137345891
2801,TRUE,63.026,0.189834029,0.147905749,-0.044660229
2802,FALSE,63.026,0.124523888,0.094243203,0.122537066
2803,TRUE,63.026,0.191159616,0.14928651,-0.04157217
2804,FALSE,63.026,0.125500171,0.095528392,0.134812476
2805,TRUE,63.026,0.189772569,0.147901746,-0.03155181
2806,FALSE,63.026,0.126942936,0.096081856,0.11776348
2807,TRUE,63.026,0.191592276,0.150467501,-0.024952092
2808,FALSE,63.026,0.12593757,0.095054223,0.129997297
2809,TRUE,63.026,0.184353072,0.143458201,0.004873953
2810,FALSE,63.026,0.124373292,0.094195711,0.150321767
2811,TRUE,63.026,0.188849495,0.146997597,-0.015084985
2812,FALSE,63.026,0.125473283,0.095588684,0.110164795
2813,TRUE,63.026,0.19224084,0.150172948,-0.045853943
2814,FALSE,63.026,0.125136407,0.093983151,0.14514264
2815,TRUE,63.026,0.187723861,0.146311355,-0.018217158
2816,FALSE,63.026,0.12423914,0.094882543,0.141682385
2817,TRUE,63.026,0.185850931,0.144696471,-0.022167859
2818,FALSE,63.026,0.12613834,0.095676734,0.116204286
2819,TRUE,63.026,0.186007487,0.146558649,-0.023219287
2820,FALSE,63.026,0.125149005,0.094544937,0.130853556
2821,TRUE,63.026,0.18338335,0.143054905,-0.028699457
2822,FALSE,63.026,0.124234906,0.094329235,0.123048017
2823,TRUE,63.026,0.190061762,0.148650125,-0.032745853
2824,FALSE,63.026,0.124365369,0.094532163,0.121805839
2825,TRUE,63.026,0.199361962,0.156147862,-0.039572916
2826,FALSE,63.026,0.12569367,0.095973206,0.120145685
2827,TRUE,63.026,0.186621252,0.146877737,0.004311928
2828,FALSE,63.026,0.123953789,0.094572204,0.137768194
2829,TRUE,63.026,0.191250882,0.148897254,-0.030521521
2830,FALSE,63.026,0.126812108,0.096161118,0.13548014
2831,TRUE,63.026,0.19357291,0.150295029,-0.020100403
2832,FALSE,63.026,0.125677002,0.095461465,0.134446143
2833,TRUE,63.026,0.186441839,0.145466703,-0.022221438
2834,FALSE,63.026,0.122761488,0.093553394,0.134345919
2835,TRUE,63.026,0.188744587,0.147927086,-0.032247101
2836,FALSE,63.026,0.122579668,0.092729176,0.142886927
2837,TRUE,63.026,0.192051737,0.150076624,-0.027229801
2838,FALSE,63.026,0.126219097,0.09565265,0.142281515
2839,TRUE,63.026,0.185250756,0.145692899,-0.009613651
2840,FALSE,63.026,0.124853834,0.094472499,0.127389034
2841,TRUE,63.026,0.189560923,0.147547949,-0.026410887
2842,FALSE,63.026,0.123920108,0.093589244,0.14652382
2843,TRUE,63.026,0.186620065,0.145831367,-0.026426613
2844,FALSE,63.026,0.1274031,0.096298921,0.129669031
2845,TRUE,63.026,0.189092742,0.147463193,-0.010023661
2846,FALSE,63.026,0.125618567,0.095346364,0.137515175
2847,TRUE,63.026,0.184650504,0.144390157,-0.006344651
2848,FALSE,63.026,0.126737813,0.096674008,0.130849521
2849,TRUE,63.026,0.187495151,0.146072635,-0.02461411
2850,FALSE,63.026,0.127011005,0.096013453,0.135507393
2851,TRUE,63.026,0.190467391,0.149854958,-0.032844472
2852,FALSE,63.026,0.127924576,0.096913488,0.130381672
2853,TRUE,63.026,0.187972355,0.148592473,-0.019390593
2854,FALSE,63.026,0.123455361,0.093909909,0.133839944
2855,TRUE,63.026,0.187660132,0.146414475,-0.057559403
2856,FALSE,63.026,0.127036675,0.096068282,0.10908467
2857,TRUE,63.026,0.188436641,0.147339517,0.002481031
2858,FALSE,63.026,0.125384752,0.095067487,0.123600952
2859,TRUE,63.026,0.187090349,0.147383526,-0.040412067
2860,FALSE,63.026,0.124815268,0.095447881,0.104557672
2861,TRUE,63.026,0.190772466,0.149968031,-0.026151031
2862,FALSE,63.026,0.123378333,0.093237504,0.131189429
2863,TRUE,63.026,0.18838104,0.147158256,-0.040019199
2864,FALSE,63.026,0.12552197,0.094896884,0.13268762
2865,TRUE,63.026,0.192797294,0.149372992,-0.016779151
2866,FALSE,63.026,0.128239518,0.096298634,0.127549507
2867,TRUE,63.026,0.187533395,0.147037387,-0.022758352
2868,FALSE,63.026,0.125017183,0.095059923,0.1383043
2869,TRUE,63.026,0.188658627,0.146320513,-0.01499611
2870,FALSE,63.026,0.122406642,0.093571581,0.141194664
2871,TRUE,63.026,0.186490409,0.145670598,-0.024267054
2872,FALSE,63.026,0.122913686,0.092970561,0.141827411
2873,TRUE,63.026,0.188887135,0.147053498,-0.026488755
2874,FALSE,63.026,0.123399266,0.094239344,0.133346893
2875,TRUE,63.026,0.189209171,0.147193095,-0.021885267
2876,FALSE,63.026,0.123305848,0.094409985,0.144854554
2877,TRUE,63.026,0.196720488,0.154078633,-0.046948517
2878,FALSE,63.026,0.124419719,0.09391718,0.135994688
2879,TRUE,63.026,0.182714709,0.144081763,-0.008744897
2880,FALSE,63.026,0.122390754,0.092420762,0.122215763
2881,TRUE,63.026,0.192895356,0.150457495,-0.03961421
2882,FALSE,63.026,0.124396552,0.094797402,0.124528268
2883,TRUE,63.026,0.190957731,0.14818525,-0.039139449
2884,FALSE,63.026,0.123731884,0.094448864,0.148542832
2885,TRUE,63.026,0.187574399,0.147218097,-0.023990992
2886,FALSE,63.026,0.126542109,0.095745943,0.139043773
2887,TRUE,63.026,0.188666677,0.147973288,-0.050471215
2888,FALSE,63.026,0.125143461,0.094604517,0.144461651
2889,TRUE,63.026,0.191393952,0.14912632,-0.027828124
2890,FALSE,63.026,0.126242894,0.0957357,0.129186705
2891,TRUE,63.026,0.187470112,0.146306422,-0.009702453
2892,FALSE,63.026,0.122838196,0.09293535,0.150724617
2893,TRUE,63.026,0.189805741,0.149179702,-0.028294527
2894,FALSE,63.026,0.126191966,0.095200149,0.10694134
2895,TRUE,63.026,0.188744286,0.147443024,-0.05001021
2896,FALSE,63.026,0.126250813,0.095662991,0.118358895
2897,TRUE,63.026,0.183855881,0.143416802,-0.021390523
2898,FALSE,63.026,0.126101668,0.094907314,0.120196099
2899,TRUE,63.026,0.188404714,0.148331321,-0.030817745
2900,FALSE,63.026,0.122009539,0.092018026,0.146547712
2901,TRUE,63.026,0.18886303,0.147757496,-0.040017444
2902,FALSE,63.026,0.12618491,0.095764371,0.106682846
2903,TRUE,63.026,0.187794487,0.147602364,-0.03076973
2904,FALSE,63.026,0.124520058,0.095275381,0.140565553
2905,TRUE,63.026,0.189837729,0.149142762,-0.001633955
2906,FALSE,63.026,0.126095458,0.094964306,0.137411251
2907,TRUE,63.026,0.190514773,0.148248439,-0.017748994
2908,FALSE,63.026,0.125475435,0.09542006,0.132463284
2909,TRUE,63.026,0.187328096,0.146285911,-0.03427929
2910,FALSE,63.026,0.124532494,0.09499062,0.126250969
2911,TRUE,63.026,0.188770647,0.14632179,-0.000612362
2912,FALSE,63.026,0.126113855,0.09564861,0.143873424
2913,TRUE,63.026,0.189729722,0.147929341,-0.026332824
2914,FALSE,63.026,0.123550545,0.093360657,0.113555927
2915,TRUE,63.026,0.191957903,0.148729623,-0.026177735
2916,FALSE,63.026,0.126063701,0.094674949,0.113473131
2917,TRUE,63.026,0.190141131,0.148423887,-0.023439913
2918,FALSE,63.026,0.124518961,0.094945125,0.133485499
2919,TRUE,63.026,0.190188453,0.149149294,-0.008537265
2920,FALSE,63.026,0.124163212,0.094794086,0.116402898
2921,TRUE,63.026,0.18731198,0.146492824,-0.020494282
2922,FALSE,63.026,0.12540842,0.095690694,0.14873722
2923,TRUE,63.026,0.184131094,0.143449037,-0.005753305
2924,FALSE,63.026,0.124759523,0.094667849,0.134364947
2925,TRUE,63.026,0.189642342,0.147812812,-0.029319394
2926,FALSE,63.026,0.124916181,0.095100399,0.146192193
